ion	m/z	20ppm-	20ppm+
FSO2-	82.96085	82.95919078	82.96250922
FSO3-	98.95577	98.95379088	98.95774912
HF2-	39.00518	39.0043999	39.0059601
CF3-	68.99576	68.99438008	68.99713992
CF3O-	84.99067	84.98897019	84.99236981
CF2SO3-	129.95417	129.9515709	129.9567691
C2F3-	80.99576	80.99414008	80.99737992
C2F5-	118.99256	118.9901801	118.9949399
C2ClF4-	134.96301	134.9603107	134.9657093
C2F5O-	134.98748	134.9847803	134.9901797
C2F4SO3-	179.95098	179.947381	179.954579
C2F5SO3-	198.94939	198.945411	198.953369
C3F3-	92.99576	92.99390008	92.99761992
C3F3O-	108.99067	108.9884902	108.9928498
C3F5-	130.99256	130.9899401	130.9951799
C3F5O-	146.98748	146.9845403	146.9904197
C3F7-	168.98937	168.9859902	168.9927498
C3F7O-	184.98429	184.9805903	184.9879897
C3F6SO3-	229.94779	229.943191	229.952389
C4F3-	104.99576	104.9936601	104.9978599
C4F5-	142.99256	142.9897001	142.9954199
C4F7-	180.98937	180.9857502	180.9929898
C4F6Cl-	196.95982	196.9558808	196.9637592
C4F7O-	196.98429	196.9803503	196.9882297
C4F9-	218.98618	218.9818003	218.9905597
C4F9O-	234.98109	234.9763904	234.9857896
C4F9O2-	250.97601	250.9709905	250.9810295
C4F8ClO2-	266.94646	266.9411211	266.9517989
C4F8SO3-	279.94459	279.9389911	279.9501889
C5F-	78.99895	78.99737002	79.00052998
C5HF2-	99.00518	99.0031999	99.0071601
C5H2F3-	119.01141	119.0090298	119.0137902
C5H3F4-	139.01764	139.0148596	139.0204204
C5H4F5-	159.02386	159.0206795	159.0270405
C5F5O-	170.98748	170.9840603	170.9908997
C5F7-	192.98937	192.9855102	192.9932298
C5F9-	230.98618	230.9815603	230.9907997
C5F8Cl-	246.95663	246.9516909	246.9615691
C5F11-	268.98299	268.9776103	268.9883697
C5F10SO3-	329.94141	329.9348112	329.9480088
C5Cl2F9O2-	332.91371	332.9070517	332.9203683
C6HO2F2-	142.99501	142.9921501	142.9978699
C6H2O2F3-	163.00124	162.99798	163.0045
C6H3O2F4-	183.00747	183.0038099	183.0111301
C6H4O2F5-	203.01369	203.0096297	203.0177503
C6H5O2F6-	223.01992	223.0154596	223.0243804
C6F9-	242.98618	242.9813203	242.9910397
C6F11-	280.98298	280.9773603	280.9885997
C6F13-	318.9798	318.9734204	318.9861796
C6F13O-	334.9736	334.9669005	334.9802995
C6F12ClO3-	382.93498	382.9273213	382.9426387
C7F7-	216.98937	216.9850302	216.9937098
C7F9-	254.98618	254.9810803	254.9912797
C7F11-	292.98298	292.9771203	292.9888397
C7F13-	330.97979	330.9731704	330.9864096
C7F12Cl-	346.95024	346.943301	346.957179
C7F15-	368.97661	368.9692305	368.9839895
C7F15O3-	416.96134	416.9530008	416.9696792
C8F13-	342.97979	342.9729304	342.9866496
C8HF14O-	378.98093	378.9733504	378.9885096
C8F15-	380.9766	380.9689805	380.9842195
C8H2F11SO3-	386.95545	386.9477109	386.9631891
C8H3F12SO3-	406.96168	406.9535408	406.9698192
C8F17-	418.97342	418.9650405	418.9817995
C8H4O4F12P-	422.96611	422.9576507	422.9745693
C8H4F13SO3-	426.9679	426.9593606	426.9764394
C8H5O4F13P-	442.97234	442.9634806	442.9811994
C8F16ClO-	450.9388	450.9297812	450.9478188
C8F15SO4-	476.92833	476.9187914	476.9378686
C8HF17NSO2-	497.9462	497.9362411	497.9561589
C8Cl2F15O3-	498.89905	498.889072	498.909028
C8F16ClSO4-	530.89558	530.8849621	530.9061979
C9F17-	430.9734	430.9647805	430.9820195
C9F19-	468.97023	468.9608506	468.9796094
C9F18Cl-	484.94066	484.9309612	484.9503588
C9ClF18O3-	532.9254	532.9147415	532.9360585
C9F18ClO4-	548.92032	548.9093416	548.9312984
C10F19-	480.97022	480.9606006	480.9798394
C10F20ClSO4-	630.8892	630.8765822	630.9018178
C10F21-	518.96704	518.9566607	518.9774193
C11Cl2F21O4-	664.88438	664.8710823	664.8976777
C11F21-	530.96702	530.9564007	530.9776393
C11F23-	568.96385	568.9524707	568.9752293
C12F24ClSO4-	730.88282	730.8682023	730.8974377
C12F25-	618.96066	618.9482808	618.9730392
C12HF22O2-	594.96307	594.9511707	594.9749693
C13H4F11SO4-	464.96601	464.9567107	464.9753093
C15H4F17SO4-	602.95643	602.9443709	602.9684891
Cl-	34.9694	34.96870061	34.97009939
NSO2-	77.96552	77.96396069	77.96707931
PO3-	78.95905	78.95747082	78.96062918
SO3-	79.95736	79.95576085	79.95895915
HSO3-	80.96519	80.9635707	80.9668093
PO4H2-	96.96962	96.96768061	96.97155939
C6H4SO4-	171.98358	171.9801403	171.9870197
